2.1.2 Employee involvement plans,Employee Engagement,Employee Communication,Employee involvement plans,"Strong - Company has provided employees with the opportunity to join a planning committee (ex: company activities, process improvement, cross-departmental collaboration, charitable giving, etc.) as a way to be involved in the organization in a meaningful and contributing way above and beyond their day to day job duties. 

Adequate - Company occasionally asks employees to volunteer to complete tasks or will coordinate an outing, gathering, or volunteer opportunity. Company may appoint employees to a committee. 

Weakness - Company does not have opportunities for employees to be involved outside of day to day work duties.",4 Adequate,"Staff are given opportunities to engage on the strategic plan, as well as in social and charity-based committees.  The charity/community-focused options seem to get the most traction.",,,Item,sites/Lists/Lists/JWP  HR Assessment,
2.2.1 Employee opinion survey & action planning,Employee Engagement,Measurement,Employee opinion survey & action planning,"Strong - Company conducts regularly scheduled engagement surveys. Questions are the same each time. Analysis is done each time and action items are identified. Results are shared with employees. Cross-functional teams work on action items and report back to employees.

Adequate - Company measures employee engagement, but it is not done regularly. Process differs each time which does not allow for consistent measurement. Results are not shared with employees. Some action items are identified from survey, but a thorough process for doing so is not in place.

Weakness - Company does not measure employee engagement.",1 Weakness,Employee opinion surveys are offered only when a salient issue has been identified.  Survey questions relate mostly to that specific issue and no two occurrences contain the same questions.,"Conduct regular basic staff feedback surveys each year (or each semester, if possible).  Use the same question set each time and ensure a dedicated effort to share results with the staff.  Measure improvements year-over-year.  Implement ideas/efficiencies as it makes sense.",2,Item,sites/Lists/Lists/JWP  HR Assessment,
2.3.1 Coaching employees,Employee Engagement,Problem Resolution,Coaching employees,"Strong - Company has a defined plan for problem resolution and follows it consistently. All supervisors have received training and have the skills necessary to resolve problems and handle difficult termination situations. 

Adequate - Company has a defined plan for problem resolution, but it is not always followed. Not all supervisors have the skills needed to successfully resolve employee problems. 

Weakness - Company does not have a clearly defined plan for problem resolution.",3 Adequate,"Within the collective bargaining agreements (CBA's) there is a clear process outlined in the event that a grievance would be filed.  However, in the last 2 years there have been no grievances and all issues have been able to be resolved with a manager conversation.  There is a general need to address accountability as a culture issue at JWP - managers either don't have the skills or the desire to hold staff accountable (ex: on-time arrival, execution of the strat plan, etc.)",Evaluate manager capability/readiness to hold staff accountable to clear expectations.  Conduct a focus group to identify barriers and address those barriers to accountability at a systemic level.,2,Item,sites/Lists/Lists/JWP  HR Assessment,
2.4.1 Employee relations,Employee Engagement,Retention Planning & Analysis,Employee relations,"Strong - Company measures turnover and has established a retention goal. Stay interviews are used and reported on regularly to members of leadership. Efforts are undertaken to capitalize on stay reasons. 

Adequate - Company measures turnover, but has not identified a retention goal. Uses exit interviews occasionally. No mechanism for recording trends in exit interviews. 

Weakness - Company does not measure turnover or have formal plan in place to retain employees.",2 Weakness,"The leadership is aware that turnover is a problem, but does not have a plan to measure it or a formal retention plan.","Implement exit interviews when someone resigns or indicates they do not intend to return.  Capture and track the data; take action to resolve any major issues.

Identify key ""backbone"" staff members and have managers conduct stay interviews.  Ensure staff are aware of the value they bring and take steps to help them feel recognized/ appreciated.",2,Item,sites/Lists/Lists/JWP  HR Assessment,
2.4.2 Employee household relations,Employee Engagement,Retention Planning & Analysis,Employee household relations,"Strong - Company has intentional practice of engaging the employee household through regular mailings, company merchandise, family gatherings, flu shots and wellness for family, activities for children, recognition of holidays and special life events. 

Adequate - Company does send some items to the employee’s household (i.e.: cards), but they have minimal impact on the family. 

Weakness - Company does not have intentional practice of engaging the employee’s household.",3 Adequate,"There are some activities that are made available for staff and family participation; they are somewhat infrequent and based on someone being willing to organize them.  When someone gets married or has a baby, there is staff recognition from the team to the individual.",,,Item,sites/Lists/Lists/JWP  HR Assessment,
2.5.1 Reward/recognition plan,Employee Engagement,Recognition,Reward/recognition plan,"Strong - Company has formal recognition program in place that is aligned and designed to drive demonstration of company values in employee behavior. Recognition is multi-layered (i.e.: in-person, written, in-public), is consistent in practice, and employees know what they need to do to receive it

Adequate - Company recognizes employees informally, but does not leverage recognition through formal program, consistency, or formality. 

Weakness - Company does not have formal recognition program in place.",1 Weakness,"There are no formal recognition programs in place other than a 1x per year event hosted by the leadership.  It is unclear how much ""informal"" staff recognition occurs.",Encourage recognition protocols within the various meeting cadences.  Add recognition as an agenda item and model the desired behavior.,1,Item,sites/Lists/Lists/JWP  HR Assessment,
2.6.1 Charitable Giving,Employee Engagement,Charitable Giving,Charitable Giving,"Strong - Company has formal giving program in place with various components (i.e.: time off for volunteering, payroll deductions, donation matching, % of profit giving, partnerships with local organizations, giving committee). Program is leveraged for maximum exposure internally and externally. 

Adequate - Company does give to charitable organizations from time to time, but employees may not know about it. Giving is not formalized or leveraged for employee morale, engagement, recruitment, or marketing purposes. 

Weakness - Company does not have formal charitable giving plan in place.",4 Adequate,"Charitable giving is a large part of what staff ""rallies around"" within a given year - esp. with programs to help disadvantaged families.",Keep it up - ensure the generosity of the staff is celebrated and acknowledged by the school board and at appropriate meetings (i.e. share total $$ or total # of gifts that were donated by the staff).,,Item,sites/Lists/Lists/JWP  HR Assessment,
2.7.1 Health & Wellness,Employee Engagement,Health & Wellness,Health & Wellness,"Strong - Company has formal wellness program in place with resources for employees such as: gym membership reduction or reimbursement; regular communications with wellness tips; ergonomic information; regular wellness activities; flu shots; blood drive. Company works with benefits broker to gain insight into high utilization patterns of health plans in order to do targeted education with aim to reduce health premiums costs. 

Adequate - Company does encourage wellness, but it is general in nature with no resources in place to support. No consideration of employee health as it relates to reduction of insurance costs. 

Weakness - Company does not have formal health & wellness program in place.",0 Out of Scope,See 2.7.2,,,Item,sites/Lists/Lists/JWP  HR Assessment,
2.7.2 Wellness initiatives,Employee Engagement,Health & Wellness,Wellness initiatives,"Strong - Wellness initiatives are robust, implemented, happen on a regular frequency, widely communicated to employees and measured to determine effectiveness. 

Adequate - A few wellness activities happen during the year (ex: blood drive, flu shots). 

Weakness - Company does not offer wellness activities or opportunities.",3 Adequate,Newsletters are emailed occasionally to encourage staff to prioritize their wellbeing.  There is a wellness budget established by the state - however this is limited.  Staff participation is encouraged but is generally sparse.,"Identify 2-3 wellness focus areas at the beginning of each school year and focus energy/efforts around those (i.e. step challenge for staff, healthy food potluck/ recipes, some recognition when people share/meet wellness goals, etc.); Make them competitive if that resonates.

Publish where staff can get flu shots/ COVID shots, if they cannot be hosted on-site.",4,Item,sites/Lists/Lists/JWP  HR Assessment,
2.8.1 DE&I Strategy and Program,Employee Engagement,"Diversity, Equity & Inclusion","Diversity, Equity & Inclusion","Strong - Company has documented DE&I  statement and plan is widely communicated to employees and external stakeholders. The DE&I commitment is  incorporated into key organizational processes and there is active involvement in this work thought the business. 

Adequate - Some work has been done to identify the DE&I commitments. the DE&I strategy and associated processes are not fully identified. Low level of communication to employees around this work.

Weakness - No work has been done to identify the organization's approach to DE&I work.""
",1 Weakness,"JWP does not participate in incentive programs around hiring diverse staff - since it's a rural area with very limited talent market, we don't focus on this.  We do complete staff development around cultural competencies and staff are expected to be aware of and respectful of a variety of cultures.",Adopt a position statement about DE&I that resonates with the type of diversity in your area.  This will help build staff awareness that there is at least a thoughtful approach.  Ensure that monthly celebrations (i.e. Black History Month) have a place on staff calendars.,3,Item,sites/Lists/Lists/JWP  HR Assessment,
3.1.1 Company Wide Compliance,Training & Development,Company Wide Compliance,Company Wide Compliance,"Strong - Company is thorough and fully compliant with mandatory trainings. Attendance is well-documented and can be quickly reported.

Adequate - Some compliance training is in place, but not all. Ability to quickly pull data on attendance needs improvement

Weakness - Compliance training is not in place.",5 Strong,JWP uses a system called Vector for most compliance training.  They rely on a supplier (IEA) for on-site training and certifications for custodians.  All is trackable and easily pulled.,,,Item,sites/Lists/Lists/JWP  HR Assessment,
3.2.1 Senior Management Meeting,Training & Development,Employee Resources,Senior Management Meeting,"Strong - Company has a regular cadence and agenda for senior management meetings. Meetings are productive, informed by company values, and all agree on what is most important for the organization driving work through this lens. 

Adequate - Regular senior management meetings are held but they are done so out of course of habit. They are reporting style meetings instead of opportunities for true engagement and progress as a team. Some members of the team feel they are a waste of time. 

Weakness - No regular senior management meetings are held.",4 Adequate,"Meetings at Jeremy's level do have agendas, are well-attended, and generally productive.  They are working on shoring up the meetings even further so that all topics correspond to either the strategic plan or to the graduate profile.",,,Item,sites/Lists/Lists/JWP  HR Assessment,
3.2.2 Employee Meeting,Training & Development,Employee Resources,Employee Meeting,"Strong - Company has regularly scheduled all employee meetings whether it's in person, via video, etc. Employees know to expect these meetings on a regular cadence and know they will learn about the financial state of the company, major initiatives, and where the focus lies for the next period of time. They know employees will be recognized during these meetings for exhibiting behaviors that demonstrate the company's values. 

Adequate - Company has all employee meetings but they are irregular and done on the fly. The content and message varies one to the next and employees do not feel it is important to attend. 

Weakness - Company does not hold all employee meetings.",4 Adequate,See 2.1.1.  Meetings cadence is regular and meetings occur as-expected.  TBD whether meetings are well-attended and productive.,,1,Item,sites/Lists/Lists/JWP  HR Assessment,
3.2.3 Performance Improvement,Training & Development,Employee Resources,Performance Improvement,"Strong - Company has identified policy related to poor performance whether it's progressive discipline or something similar and it is clearly communicated in the employee handbook. Sample PIP's are available to managers and HR is working hand in hand with managers to ensure PIP's are documenting the concerns appropriately and setting achievable expectations and timelines.  

Adequate - Company has a discipline policy but does not follow it consistently. Issues are handled in varying ways, some with written documentation and some without. Managers frequently discipline employees without HR knowledge or collaboration. 

Weakness - Company does not have discipline policy. Issues are handled in a wide variety of ways and inconsistency creates risk for the organization and frustration for employees.",2 Weakness,CBAs cover much of this information so that issues are handled with consistency.  However the template and process for a PIP is not readily available and next steps are not always clear.,Create an online repository of the current performance support processes and templates so that supervisors have access to the most updated materials and are handling issues consistently.,1,Item,sites/Lists/Lists/JWP  HR Assessment,
3.3.1 New Hire Orientation & Onboarding,Training & Development,New Hire Orientation & Onboarding,New Hire Orientation & Onboarding,"Strong - Company has thorough new hire onboarding with repeatable practices and measured success. 

Adequate - Company has minimal, informal, and inconsistent orientation for new hires. 

Weakness - Company does not have new hire orientation.",3 Adequate,"NHO practices are adequate for their needs, however they are not documented.  There are likely opportunities to further engage the new hire and help him/her feel connected to the JWP community.",Document the NHO and on-boarding processes.  Assess the extent to which new hires feel truly engaged and connected to the JWP community after on-boarding and what could be done differently to help build more connection.,3,Item,sites/Lists/Lists/JWP  HR Assessment,
3.4.1 Individual Centered Development,Training & Development,Training & Tools,Individual Centered Development,"Strong - Company has written ICD information that is easy for employees to find and take full advantage of. High level of employee participation. 

Adequate - Company has some ICD opportunities, but there is not a consistent practice and it is unclear to employees where to find information. Very little employee participation. 

Weakness - Company does not offer individual centered development opportunities.",2 Weakness,"There is no ICD at JWP.  However, people are supported in their choices to pursue additional certifications and degrees.  The leadership tries to ensure they give people exposure in their certification topics so they receive the required hours needed to complete the credential.",Provide a written template that can be filled out by the staff member to identify skills/knowledge they wish to develop or grow into.  Encourage supervisors to have a recurring conversation about the contents of the template and ask how they can support the person's development.,3,Item,sites/Lists/Lists/JWP  HR Assessment,
3.4.2 OTJ Training,Training & Development,Training & Tools,OTJ Training,"Strong - Company has consistent method for OTJ training. Well established buddy system and measured success. 

Adequate - Company has informal OTJ training. No written documents. Inconsistent practice. 

Weakness - Company has no OTJ training.",3 Adequate,OTJ training varies by role.  None of it is documented.  Would be good to at least provide a role-specific checklist of the information that needs to be covered with each new hire for OTJ.,"Provide a role-specific checklist of the information that needs to be covered with each new hire for OTJ.  This can be given to both the ""mentor"" and to the new hire to ensure everything is covered.",2,Item,sites/Lists/Lists/JWP  HR Assessment,
3.4.3 Supervisory Training,Training & Development,Training & Tools,Supervisory Training,"Strong - Company requires supervisory training prior to employee management. Robust requirement of all 3 levels and progress assessment at regular intervals. 

Adequate - Company makes or has supervisory training available, but it is not required.  

Weakness - Company has no supervisory training.",3 Adequate,"Principals and Superintendent have access to managerial training via external associations.  However, it is not required for them to attend.","Ensure that supervisors have a clearer understanding of areas in which they could further grow their people-management skills.  Once those areas are identified, encourage them to participate in applicable learning experiences.  Then ensure accountability (via ICD or annual reviews) for applying the skills they're practicing.",3,Item,sites/Lists/Lists/JWP  HR Assessment,
3.4.4 Leadership Development,Training & Development,Training & Tools,Leadership Development,"Strong - Company has a training plan to ensure that identified leaders - and/or up and coming leaders - in the organization receive ongoing skill development. The curriculum is clearly outlined and communicated to participants. A mechanism for measuring outcomes is in place and results are reported back to executive team. 

Adequate - Company provides training for identified leaders as requested. There is a not a formal or consistent methodology in place. No measurement of outcomes. 

Weakness - Company does not provide leadership development.",0 Out of Scope,,,,Item,sites/Lists/Lists/JWP  HR Assessment,
3.4.5 Career Pathing,Training & Development,Training & Tools,Career Pathing,Strong - Company has well-documented and communicated career path for all levels of employees. Adequate - Company has informal career path for employees. Not broadly communicated. Unclear criteria. Weakness - Company has no defined career path for employees.,1 Weakness,No career paths.,"Build out experience maps for the most common roles.  Objective is to let people know what opportunities they have in their role - what committees and projects they could be involved in, what certifications they could pursue, what other jobs exist that might a logical change if they wanted a shift in their career.",2,Item,sites/Lists/Lists/JWP  HR Assessment,
3.4.6 Business/Industry learnings,Training & Development,Training & Tools,Business/Industry learnings,"Strong - Company has a means by which to assess candidate or employee knowledge of business concepts and industry savvy. 

Adequate - Company conducts informal verbal evaluation of skills. 

Weakness - Company does not conduct evaluation of skills or knowledge.",0 Out of Scope,,,,Item,sites/Lists/Lists/JWP  HR Assessment,
3.4.7 Effectiveness & basic skills,Training & Development,Training & Tools,Effectiveness & basic skills,"Strong - Company has a means by which to assess candidate or employee effectiveness and basic work skills. 

Adequate - Company conducts informal verbal evaluation of skills. 

Weakness - Company does not conduct evaluation of skills or knowledge.",0 Out of Scope,,,,Item,sites/Lists/Lists/JWP  HR Assessment,
3.5.1 Performance review process,Training & Development,"Assessment, Tracking, Measurement",Performance review process,"Strong - Has robust, regularly scheduled, widely communicated process for conducting employee reviews. Company has given great thought to the content and method used for reviews and whether or not performance is tied to compensation or lives apart. 

Adequate - Employee reviews are done occasionally and inconsistently. Often they are done only if an employee requests it to be done. Management and employees are unclear if compensation is tied to employee performance reviews. There is great inconsistency in the practices of the organization. 

Weakness - Company does not have process for doing employee reviews or simply just does not do them.",2 Weakness,"Performance reviews are done annually for staff.  It is a one-page self-evaluation and a one-page supervisor evaluation.  

Teachers are observed 1-3 x per year by the principal and given feedback.  Documentation is stored in personnel files.

Compensation is not tied to reviews because it is tied to CBA terms.","Evaluate the content and method used for staff performance reviews.  Incorporate values, expected behaviors and strengths/opportunities discussion.  As a follow-up, determine whether there is an appropriate development plan for the person to focus on learning a new skill or process, which would help build their engagement and help JWP.",2,Item,sites/Lists/Lists/JWP  HR Assessment,
3.5.2 Talent review tools,Training & Development,"Assessment, Tracking, Measurement",Talent review tools,"Strong - Company completes both Stack Rank, Nine Box exercises annually and uses it to inform staffing, training and development decisions. 

Adequate - Company has completed one of the exercises (Stack Rank, Nine Box) but has not used it to inform staffing or training and development decisions 

Weakness - Company has not completed a nine box or stack rank exercise.",1 Weakness,There is no talent review/calibration process that occurs with any regularity.,"Adopt a talent calibration conversation process as a method of identifying key ""backbone"" staff members, as well as providing recognition and alignment on development planning and potential successors for key roles.",3,Item,sites/Lists/Lists/JWP  HR Assessment,
3.5.3 Knowledge management,Training & Development,"Assessment, Tracking, Measurement",Knowledge management,"Strong - Company has a method for tracking the knowledge and skills of employees in the organization. All employees are able to easily reference this information drawing on the strengths of individuals on behalf of clients/customers or to serve as mentors and trainers. 

Adequate - Company has some documentation of employee skills and abilities but it is not in a consolidated format easily referenced and is not available to all. 

Weakness - Company does not track employees skills and abilities.",0 Out of Scope,,,,Item,sites/Lists/Lists/JWP  HR Assessment,
4.1.1 Pay strategy Compensation Plan,Benefits & Compensation,Compensation Plan/ Philosophy,Pay strategy Compensation Plan,"Strong - Company has a compensation plan document that aligns tightly with actual practice. It is referenced and adjusted regularly (as needed) and individuals involved in compensation decisions know where to find it. 

Adequate - Company has a compensation plan document, but it does not get reviewed regularly. Document is not followed consistently. 

Weakness - Company does not have a compensation plan",4 Adequate,"Compensation is set by the CBA's.  Negotiations are the time at which changes can be made.  For staff, compensation is based on role and tenure - not performance.  For teachers, there is a Q-Comp program which is funded by the state.",,1,Item,sites/Lists/Lists/JWP  HR Assessment,
4.1.2 Compensation Philosophy,Benefits & Compensation,Compensation Plan/ Philosophy,Compensation Philosophy,"Strong - Company has a compensation philosophy document that aligns tightly with actual practice. It is referenced and adjusted regularly (as needed) and individuals involved in compensation decisions know where to find it. 

Adequate - Company has compensation philosophy, but it is not used to guide compensation decisions. Does not get reviewed regularly. 

Weakness - Company does not have formal compensation philosophy.",2 Weakness,"Compensation of non-CBA staff needs to be reviewed.  We don't know if it's aligned to market or not, based on skills, years of experience, etc.",Need to review the compensation of Director jobs (non-CBA) against market.  Make any associated recommendations.,1,Item,sites/Lists/Lists/JWP  HR Assessment,
"4.1.3 Salary Range, Market Data & Comp Studies",Benefits & Compensation,Compensation Plan/ Philosophy,"Salary Range, Market Data & Comp Studies","Strong - Company has fully developed compensation ranges for all position that are informed by market data and compensation studies. 

Adequate - Company has ranges for some positions but not all. They were developed some time ago and not informed by objective data. 

Weakness - Company does not have compensation ranges and has not conducted a market analysis of compensation.",2 Weakness,,Current project in process to review pay ranges and provide recommendations based on objective data.,1,Item,sites/Lists/Lists/JWP  HR Assessment,
4.1.4 Variable pay plans,Benefits & Compensation,Compensation Plan/ Philosophy,Variable pay plans,"Strong - Company has variable pay plans in place and they are fully integrated with compensation philosophy & plan. Pay drives company values, is handled consistently, is well funded. Well documented. Employees are well educated on plans. 

Adequate - Company has variable pay plans, but they are not integrated with compensation philosophy or compensation plan. Applied in ad hoc fashion. Not tied to company values. 

Weakness - Company does not have variable pay plans.",1 Weakness,"The unions bring forward ideas around variable pay, however they budget approval and administration process is cumbersome.  The funding is unclear.",Explore what other schools have put in place in terms of incentives and variable pay opportunities.  Determine if something like this might make a significant positive impact for administrative staff positions.,4,Item,sites/Lists/Lists/JWP  HR Assessment,
4.1.5 Job Descriptions,Benefits & Compensation,Compensation Plan/ Philosophy,Job Descriptions,"Strong -  Company has job descriptions for all employees. Job descriptions are updated on a regular basis. They follow the same, best practice format. Employees have received a copy of their job description, signed it, and a copy is in the employee file. 

Adequate - Company has some job descriptions. They are inconsistent in structure. Employees do not know where to find job descriptions. 

Weakness - Company does not have job descriptions.",3 Adequate,Job descriptions are quite detailed in many cases.,Ensure staff members have access to their job descriptions at any time and communicate with them where to access them.  Use the conversation to help clarify and re-align expectations for the new school year.,1,Item,sites/Lists/Lists/JWP  HR Assessment,
4.1.6 Executive/Board compensation,Benefits & Compensation,Compensation Plan/ Philosophy,Executive/Board compensation,"Strong - Company has well-informed (through research and expert comp advise) executive and board compensation plan. The plan is reviewed regularly - at least every two years and updated against market data.  

Adequate - Company has broad or vague framework for executive and board comp based mostly on past practices. Has not been reviewed recently against market data; no input from outside expert. 

Weakness - Company does not have a written practice or methodology for exec and board comp. Decisions are made by one or two individuals in the org on an ad hoc basis using subjective criteria.",0 Out of Scope,,,,Item,sites/Lists/Lists/JWP  HR Assessment,
4.1.7 Evaluation Systems,Benefits & Compensation,Compensation Plan/ Philosophy,Evaluation Systems,"Strong - Company has robust evaluation system in place which is tied to company values. Cadence is on a regular basis and all employees know what to expect.  

Adequate - Company has an evaluation system, but it is not tied to company values. Employees are not clear on system or process. Evaluations are not done in a timely manner. 

Weakness - Company does not have a formal evaluation system.",0 Out of Scope,,,,Item,sites/Lists/Lists/JWP  HR Assessment,
4.1.8 Employee Agreements,Benefits & Compensation,Compensation Plan/ Philosophy,Employee Agreements,"Strong - Company uses Employee Agreements that have been reviewed by an attorney. EA's are used for all positions in the company, signed by incoming employee, and kept in the employee file. 

Adequate - Company only uses EA's for some positions in the company, inconsistent use. EA's have not been attorney reviewed. Sometimes they are signed by employee, sometimes they are kept in the employee file.  

Weakness - Company does not use EA's.",4 Adequate,"Most roles are union roles and, as such, have union agreements.  These are tracked and signed upon hire.",,,Item,sites/Lists/Lists/JWP  HR Assessment,
4.1.9 Retention Agreements,Benefits & Compensation,Compensation Plan/ Philosophy,Retention Agreements,"Strong - Company has a retention agreement template that can be used when needed that has been attorney reviewed. All retention arrangements are documented through this agreement, signed by all relevant parties, and kept in the employee file. 

Adequate - Company occasionally uses a retention agreement that is outdated or not attorney reviewed.  

Weakness - Company does not use retention agreements to document retention arrangements with employees.",0 Out of Scope,,,,Item,sites/Lists/Lists/JWP  HR Assessment,
4.2.1 Benefits plan/Strategy and support,Benefits & Compensation,Benefits Strategy,Benefits plan/Strategy and support,"Strong - Company has strong brokerage relationship. Proactive and on-going review of benefits structure & cost is well documented 

Adequate - Company brings plans to market annually and closely reviews each year. Has broker relationship in place. Broker is reactive and not fully utilized. 

Weakness - Company does not take plans to market annually.",4 Adequate,Broker is Gallagher.   Relationship is well-established and benefits are reviewed every other year.,,,Item,sites/Lists/Lists/JWP  HR Assessment,
